configuration,Time,file
FSST (w/o AVX),60.6972,../fsst-paper/dbtext/hamlet
BtrFSST (w/o AVX),20.3123,../fsst-paper/dbtext/hamlet
FSST (w/o AVX),250.452,../fsst-paper/dbtext/wikipedia
BtrFSST (w/o AVX),60.9948,../fsst-paper/dbtext/wikipedia
FSST (w/o AVX),303.501,../fsst-paper/dbtext/ps_comment
BtrFSST (w/o AVX),87.1033,../fsst-paper/dbtext/ps_comment
FSST (w/o AVX),347.497,../fsst-paper/dbtext/c_name
BtrFSST (w/o AVX),85.6435,../fsst-paper/dbtext/c_name
FSST (w/o AVX),121.99,../fsst-paper/dbtext/chinese
BtrFSST (w/o AVX),37.8797,../fsst-paper/dbtext/chinese
FSST (w/o AVX),372.321,../fsst-paper/dbtext/uuid
BtrFSST (w/o AVX),77.6817,../fsst-paper/dbtext/uuid
FSST (w/o AVX),166.922,../fsst-paper/dbtext/hex
BtrFSST (w/o AVX),43.8408,../fsst-paper/dbtext/hex
FSST (w/o AVX),46.7379,../fsst-paper/dbtext/japanese
BtrFSST (w/o AVX),13.8137,../fsst-paper/dbtext/japanese
FSST (w/o AVX),32.2262,../fsst-paper/dbtext/street
BtrFSST (w/o AVX),10.7122,../fsst-paper/dbtext/street
FSST (w/o AVX),215.351,../fsst-paper/dbtext/yago
BtrFSST (w/o AVX),54.65,../fsst-paper/dbtext/yago
FSST (w/o AVX),254.837,../fsst-paper/dbtext/lastname
BtrFSST (w/o AVX),61.208,../fsst-paper/dbtext/lastname
FSST (w/o AVX),228.635,../fsst-paper/dbtext/movies
BtrFSST (w/o AVX),56.1517,../fsst-paper/dbtext/movies
FSST (w/o AVX),383.171,../fsst-paper/dbtext/location
BtrFSST (w/o AVX),71.5942,../fsst-paper/dbtext/location
FSST (w/o AVX),250.68,../fsst-paper/dbtext/email
BtrFSST (w/o AVX),60.4169,../fsst-paper/dbtext/email
FSST (w/o AVX),82.4678,../fsst-paper/dbtext/firstname
BtrFSST (w/o AVX),21.0762,../fsst-paper/dbtext/firstname
FSST (w/o AVX),34.4976,../fsst-paper/dbtext/credentials
BtrFSST (w/o AVX),10.5084,../fsst-paper/dbtext/credentials
FSST (w/o AVX),240.507,../fsst-paper/dbtext/wiki
BtrFSST (w/o AVX),58.909,../fsst-paper/dbtext/wiki
FSST (w/o AVX),30.5577,../fsst-paper/dbtext/city
BtrFSST (w/o AVX),8.69005,../fsst-paper/dbtext/city
FSST (w/o AVX),222.064,../fsst-paper/dbtext/urls2
BtrFSST (w/o AVX),64.9489,../fsst-paper/dbtext/urls2
FSST (w/o AVX),293.087,../fsst-paper/dbtext/l_comment
BtrFSST (w/o AVX),77.9447,../fsst-paper/dbtext/l_comment
FSST (w/o AVX),64.641,../fsst-paper/dbtext/faust
BtrFSST (w/o AVX),18.2928,../fsst-paper/dbtext/faust
FSST (w/o AVX),199.844,../fsst-paper/dbtext/genome
BtrFSST (w/o AVX),32.1668,../fsst-paper/dbtext/genome
FSST (w/o AVX),353.641,../fsst-paper/dbtext/urls
BtrFSST (w/o AVX),111.836,../fsst-paper/dbtext/urls
FSST (w/ AVX),63.3006,../fsst-paper/dbtext/hamlet
BtrFSST (w/ AVX),20.0149,../fsst-paper/dbtext/hamlet
FSST (w/ AVX),255.702,../fsst-paper/dbtext/wikipedia
BtrFSST (w/ AVX),56.7664,../fsst-paper/dbtext/wikipedia
FSST (w/ AVX),307.272,../fsst-paper/dbtext/ps_comment
BtrFSST (w/ AVX),78.5666,../fsst-paper/dbtext/ps_comment
FSST (w/ AVX),355.82,../fsst-paper/dbtext/c_name
BtrFSST (w/ AVX),78.5153,../fsst-paper/dbtext/c_name
FSST (w/ AVX),114.375,../fsst-paper/dbtext/chinese
BtrFSST (w/ AVX),35.3123,../fsst-paper/dbtext/chinese
FSST (w/ AVX),375.576,../fsst-paper/dbtext/uuid
BtrFSST (w/ AVX),66.2883,../fsst-paper/dbtext/uuid
FSST (w/ AVX),166.52,../fsst-paper/dbtext/hex
BtrFSST (w/ AVX),40.4468,../fsst-paper/dbtext/hex
FSST (w/ AVX),45.8746,../fsst-paper/dbtext/japanese
BtrFSST (w/ AVX),13.3097,../fsst-paper/dbtext/japanese
FSST (w/ AVX),31.8142,../fsst-paper/dbtext/street
BtrFSST (w/ AVX),9.99959,../fsst-paper/dbtext/street
FSST (w/ AVX),207.374,../fsst-paper/dbtext/yago
BtrFSST (w/ AVX),50.514,../fsst-paper/dbtext/yago
FSST (w/ AVX),258.031,../fsst-paper/dbtext/lastname
BtrFSST (w/ AVX),57.5893,../fsst-paper/dbtext/lastname
FSST (w/ AVX),235.749,../fsst-paper/dbtext/movies
BtrFSST (w/ AVX),51.9874,../fsst-paper/dbtext/movies
FSST (w/ AVX),402.499,../fsst-paper/dbtext/location
BtrFSST (w/ AVX),67.4383,../fsst-paper/dbtext/location
FSST (w/ AVX),264.838,../fsst-paper/dbtext/email
BtrFSST (w/ AVX),59.4552,../fsst-paper/dbtext/email
FSST (w/ AVX),85.3984,../fsst-paper/dbtext/firstname
BtrFSST (w/ AVX),21.2466,../fsst-paper/dbtext/firstname
FSST (w/ AVX),34.3999,../fsst-paper/dbtext/credentials
BtrFSST (w/ AVX),10.249,../fsst-paper/dbtext/credentials
FSST (w/ AVX),241.699,../fsst-paper/dbtext/wiki
BtrFSST (w/ AVX),54.5343,../fsst-paper/dbtext/wiki
FSST (w/ AVX),29.5442,../fsst-paper/dbtext/city
BtrFSST (w/ AVX),8.39817,../fsst-paper/dbtext/city
FSST (w/ AVX),220.827,../fsst-paper/dbtext/urls2
BtrFSST (w/ AVX),60.7741,../fsst-paper/dbtext/urls2
FSST (w/ AVX),295.252,../fsst-paper/dbtext/l_comment
BtrFSST (w/ AVX),70.8805,../fsst-paper/dbtext/l_comment
FSST (w/ AVX),65.8217,../fsst-paper/dbtext/faust
BtrFSST (w/ AVX),17.8454,../fsst-paper/dbtext/faust
FSST (w/ AVX),198.238,../fsst-paper/dbtext/genome
BtrFSST (w/ AVX),30.3785,../fsst-paper/dbtext/genome
FSST (w/ AVX),348.368,../fsst-paper/dbtext/urls
BtrFSST (w/ AVX),96.613,../fsst-paper/dbtext/urls
BtrFSST (Trie),25.0357,../fsst-paper/dbtext/hamlet
BtrFSST (Trie),75.8925,../fsst-paper/dbtext/wikipedia
BtrFSST (Trie),89.3127,../fsst-paper/dbtext/ps_comment
BtrFSST (Trie),94.359,../fsst-paper/dbtext/c_name
BtrFSST (Trie),45.8467,../fsst-paper/dbtext/chinese
BtrFSST (Trie),93.6916,../fsst-paper/dbtext/uuid
BtrFSST (Trie),49.812,../fsst-paper/dbtext/hex
BtrFSST (Trie),18.6035,../fsst-paper/dbtext/japanese
BtrFSST (Trie),12.9248,../fsst-paper/dbtext/street
BtrFSST (Trie),65.7393,../fsst-paper/dbtext/yago
BtrFSST (Trie),81.6949,../fsst-paper/dbtext/lastname
BtrFSST (Trie),68.3058,../fsst-paper/dbtext/movies
BtrFSST (Trie),117.724,../fsst-paper/dbtext/location
BtrFSST (Trie),78.0128,../fsst-paper/dbtext/email
BtrFSST (Trie),28.4062,../fsst-paper/dbtext/firstname
BtrFSST (Trie),12.7107,../fsst-paper/dbtext/credentials
BtrFSST (Trie),71.625,../fsst-paper/dbtext/wiki
BtrFSST (Trie),11.0331,../fsst-paper/dbtext/city
BtrFSST (Trie),67.0325,../fsst-paper/dbtext/urls2
BtrFSST (Trie),79.7991,../fsst-paper/dbtext/l_comment
BtrFSST (Trie),23.088,../fsst-paper/dbtext/faust
BtrFSST (Trie),59.2802,../fsst-paper/dbtext/genome
BtrFSST (Trie),104.217,../fsst-paper/dbtext/urls
