configuration,Time,file
FSST12,8.07983,../fsst-paper/dbtext/hamlet
BtrFSST12,6.90711,../fsst-paper/dbtext/hamlet
FSST12,60.5382,../fsst-paper/dbtext/wikipedia
BtrFSST12,22.8875,../fsst-paper/dbtext/wikipedia
FSST12,76.3439,../fsst-paper/dbtext/ps_comment
BtrFSST12,25.8034,../fsst-paper/dbtext/ps_comment
FSST12,60.4396,../fsst-paper/dbtext/c_name
BtrFSST12,24.9303,../fsst-paper/dbtext/c_name
FSST12,17.701,../fsst-paper/dbtext/chinese
BtrFSST12,12.4908,../fsst-paper/dbtext/chinese
FSST12,84.7609,../fsst-paper/dbtext/uuid
BtrFSST12,30.3864,../fsst-paper/dbtext/uuid
FSST12,19.8006,../fsst-paper/dbtext/hex
BtrFSST12,14.2162,../fsst-paper/dbtext/hex
FSST12,8.52226,../fsst-paper/dbtext/japanese
BtrFSST12,8.22257,../fsst-paper/dbtext/japanese
FSST12,6.19466,../fsst-paper/dbtext/street
BtrFSST12,5.77944,../fsst-paper/dbtext/street
FSST12,40.9497,../fsst-paper/dbtext/yago
BtrFSST12,21.4381,../fsst-paper/dbtext/yago
FSST12,54.3924,../fsst-paper/dbtext/lastname
BtrFSST12,23.6736,../fsst-paper/dbtext/lastname
FSST12,43.6488,../fsst-paper/dbtext/movies
BtrFSST12,22.9334,../fsst-paper/dbtext/movies
FSST12,67.9788,../fsst-paper/dbtext/location
BtrFSST12,24.1588,../fsst-paper/dbtext/location
FSST12,51.9758,../fsst-paper/dbtext/email
BtrFSST12,24.4954,../fsst-paper/dbtext/email
FSST12,10.506,../fsst-paper/dbtext/firstname
BtrFSST12,8.19332,../fsst-paper/dbtext/firstname
FSST12,6.87978,../fsst-paper/dbtext/credentials
BtrFSST12,6.43172,../fsst-paper/dbtext/credentials
FSST12,49.0639,../fsst-paper/dbtext/wiki
BtrFSST12,23.8964,../fsst-paper/dbtext/wiki
FSST12,5.98212,../fsst-paper/dbtext/city
BtrFSST12,5.6692,../fsst-paper/dbtext/city
FSST12,38.7144,../fsst-paper/dbtext/urls2
BtrFSST12,23.1197,../fsst-paper/dbtext/urls2
FSST12,77.9912,../fsst-paper/dbtext/l_comment
BtrFSST12,23.3555,../fsst-paper/dbtext/l_comment
FSST12,8.25273,../fsst-paper/dbtext/faust
BtrFSST12,6.63288,../fsst-paper/dbtext/faust
FSST12,32.51,../fsst-paper/dbtext/genome
BtrFSST12,18.1264,../fsst-paper/dbtext/genome
FSST12,87.0107,../fsst-paper/dbtext/urls
BtrFSST12,31.6209,../fsst-paper/dbtext/urls
