configuration,Time,file
FSST,427.533,../fsst-paper/dbtext/c_name
FSST,140.026,../fsst-paper/dbtext/chinese
FSST,39.5061,../fsst-paper/dbtext/city
FSST,43.7964,../fsst-paper/dbtext/credentials
FSST,295.071,../fsst-paper/dbtext/email
FSST,81.137,../fsst-paper/dbtext/faust
FSST,107.021,../fsst-paper/dbtext/firstname
FSST,242.172,../fsst-paper/dbtext/genome
FSST,80.6296,../fsst-paper/dbtext/hamlet
FSST,210.402,../fsst-paper/dbtext/hex
FSST,60.8263,../fsst-paper/dbtext/japanese
FSST,335.708,../fsst-paper/dbtext/l_comment
FSST,296.191,../fsst-paper/dbtext/lastname
FSST,477.619,../fsst-paper/dbtext/location
FSST,264.529,../fsst-paper/dbtext/movies
FSST,359.15,../fsst-paper/dbtext/ps_comment
FSST,41.6365,../fsst-paper/dbtext/street
FSST,410.829,../fsst-paper/dbtext/urls
FSST,259.1,../fsst-paper/dbtext/urls2
FSST,403.158,../fsst-paper/dbtext/uuid
FSST,264.568,../fsst-paper/dbtext/wiki
FSST,272.953,../fsst-paper/dbtext/wikipedia
FSST,231.174,../fsst-paper/dbtext/yago
FSST (SIMD),434.879,../fsst-paper/dbtext/c_name
FSST (SIMD),134.68,../fsst-paper/dbtext/chinese
FSST (SIMD),38.8692,../fsst-paper/dbtext/city
FSST (SIMD),43.4157,../fsst-paper/dbtext/credentials
FSST (SIMD),287.346,../fsst-paper/dbtext/email
FSST (SIMD),79.6677,../fsst-paper/dbtext/faust
FSST (SIMD),110.188,../fsst-paper/dbtext/firstname
FSST (SIMD),241.142,../fsst-paper/dbtext/genome
FSST (SIMD),74.6703,../fsst-paper/dbtext/hamlet
FSST (SIMD),215.155,../fsst-paper/dbtext/hex
FSST (SIMD),60.9329,../fsst-paper/dbtext/japanese
FSST (SIMD),333.846,../fsst-paper/dbtext/l_comment
FSST (SIMD),298.602,../fsst-paper/dbtext/lastname
FSST (SIMD),474.585,../fsst-paper/dbtext/location
FSST (SIMD),262.223,../fsst-paper/dbtext/movies
FSST (SIMD),347.763,../fsst-paper/dbtext/ps_comment
FSST (SIMD),42.9696,../fsst-paper/dbtext/street
FSST (SIMD),412.179,../fsst-paper/dbtext/urls
FSST (SIMD),260.8,../fsst-paper/dbtext/urls2
FSST (SIMD),402.601,../fsst-paper/dbtext/uuid
FSST (SIMD),258.439,../fsst-paper/dbtext/wiki
FSST (SIMD),280.449,../fsst-paper/dbtext/wikipedia
FSST (SIMD),244.828,../fsst-paper/dbtext/yago
OptFSST,96.1537,../fsst-paper/dbtext/c_name
OptFSST,44.6561,../fsst-paper/dbtext/chinese
OptFSST,10.4879,../fsst-paper/dbtext/city
OptFSST,11.1104,../fsst-paper/dbtext/credentials
OptFSST,77.4363,../fsst-paper/dbtext/email
OptFSST,22.9787,../fsst-paper/dbtext/faust
OptFSST,28.6485,../fsst-paper/dbtext/firstname
OptFSST,59.4993,../fsst-paper/dbtext/genome
OptFSST,25.2853,../fsst-paper/dbtext/hamlet
OptFSST,49.6876,../fsst-paper/dbtext/hex
OptFSST,18.8265,../fsst-paper/dbtext/japanese
OptFSST,80.7052,../fsst-paper/dbtext/l_comment
OptFSST,82.5876,../fsst-paper/dbtext/lastname
OptFSST,116.552,../fsst-paper/dbtext/location
OptFSST,67.2563,../fsst-paper/dbtext/movies
OptFSST,87.7954,../fsst-paper/dbtext/ps_comment
OptFSST,13.0172,../fsst-paper/dbtext/street
OptFSST,102.637,../fsst-paper/dbtext/urls
OptFSST,71.2004,../fsst-paper/dbtext/urls2
OptFSST,92.4836,../fsst-paper/dbtext/uuid
OptFSST,69.2469,../fsst-paper/dbtext/wiki
OptFSST,70.2128,../fsst-paper/dbtext/wikipedia
OptFSST,65.9083,../fsst-paper/dbtext/yago
FSST12,70.4787,../fsst-paper/dbtext/c_name
FSST12,21.7727,../fsst-paper/dbtext/chinese
FSST12,4.64343,../fsst-paper/dbtext/city
FSST12,5.49367,../fsst-paper/dbtext/credentials
FSST12,53.9973,../fsst-paper/dbtext/email
FSST12,8.87359,../fsst-paper/dbtext/faust
FSST12,13.3236,../fsst-paper/dbtext/firstname
FSST12,37.4757,../fsst-paper/dbtext/genome
FSST12,9.79819,../fsst-paper/dbtext/hamlet
FSST12,25.3974,../fsst-paper/dbtext/hex
FSST12,7.32848,../fsst-paper/dbtext/japanese
FSST12,90.4075,../fsst-paper/dbtext/l_comment
FSST12,70.471,../fsst-paper/dbtext/lastname
FSST12,78.0543,../fsst-paper/dbtext/location
