configuration,Time,file
FSST,1698.2,../fsst-paper/dbtext/email
BtrFSST,1925.74,../fsst-paper/dbtext/email
FSST,1194.64,../fsst-paper/dbtext/wiki
BtrFSST,928.745,../fsst-paper/dbtext/wiki
FSST,1262.86,../fsst-paper/dbtext/movies
BtrFSST,747.798,../fsst-paper/dbtext/movies
FSST,2012.02,../fsst-paper/dbtext/japanese
BtrFSST,1801.35,../fsst-paper/dbtext/japanese
FSST,1604.9,../fsst-paper/dbtext/firstname
BtrFSST,1809.64,../fsst-paper/dbtext/firstname
FSST,1820.61,../fsst-paper/dbtext/urls
BtrFSST,1862.88,../fsst-paper/dbtext/urls
FSST,2556.7,../fsst-paper/dbtext/ps_comment
BtrFSST,3185.87,../fsst-paper/dbtext/ps_comment
FSST,1760.03,../fsst-paper/dbtext/faust
BtrFSST,1159.12,../fsst-paper/dbtext/faust
FSST,2638.16,../fsst-paper/dbtext/genome
BtrFSST,3273.49,../fsst-paper/dbtext/genome
FSST,1421.18,../fsst-paper/dbtext/wikipedia
BtrFSST,669.535,../fsst-paper/dbtext/wikipedia
FSST,2052.03,../fsst-paper/dbtext/credentials
BtrFSST,1879.06,../fsst-paper/dbtext/credentials
FSST,1334.64,../fsst-paper/dbtext/yago
BtrFSST,740.244,../fsst-paper/dbtext/yago
FSST,2030.04,../fsst-paper/dbtext/uuid
BtrFSST,2172.63,../fsst-paper/dbtext/uuid
FSST,2143.11,../fsst-paper/dbtext/hamlet
BtrFSST,1796.5,../fsst-paper/dbtext/hamlet
FSST,2171.55,../fsst-paper/dbtext/street
BtrFSST,2222.79,../fsst-paper/dbtext/street
FSST,2421.3,../fsst-paper/dbtext/l_comment
BtrFSST,2504.23,../fsst-paper/dbtext/l_comment
FSST,1751.79,../fsst-paper/dbtext/urls2
BtrFSST,1324.71,../fsst-paper/dbtext/urls2
FSST,1545.14,../fsst-paper/dbtext/lastname
BtrFSST,1559.6,../fsst-paper/dbtext/lastname
FSST,2167.62,../fsst-paper/dbtext/location
BtrFSST,2620.08,../fsst-paper/dbtext/location
FSST,1508.48,../fsst-paper/dbtext/chinese
BtrFSST,1618.38,../fsst-paper/dbtext/chinese
FSST,1910.96,../fsst-paper/dbtext/city
BtrFSST,1786.9,../fsst-paper/dbtext/city
FSST,3451.97,../fsst-paper/dbtext/c_name
BtrFSST,4251.01,../fsst-paper/dbtext/c_name
FSST,1829.8,../fsst-paper/dbtext/hex
BtrFSST,1723.59,../fsst-paper/dbtext/hex
