configuration,Time,file
FSST12,2482.02,../fsst-paper/dbtext/street
BtrFSST12,5212.49,../fsst-paper/dbtext/street
FSST12,4911.63,../fsst-paper/dbtext/location
BtrFSST12,5596.19,../fsst-paper/dbtext/location
FSST12,3741.21,../fsst-paper/dbtext/chinese
BtrFSST12,4909.37,../fsst-paper/dbtext/chinese
FSST12,3595.3,../fsst-paper/dbtext/firstname
BtrFSST12,3985.64,../fsst-paper/dbtext/firstname
FSST12,4483.91,../fsst-paper/dbtext/urls2
BtrFSST12,5156.17,../fsst-paper/dbtext/urls2
FSST12,3801.24,../fsst-paper/dbtext/wiki
BtrFSST12,4470.72,../fsst-paper/dbtext/wiki
FSST12,2382.43,../fsst-paper/dbtext/city
BtrFSST12,4705.55,../fsst-paper/dbtext/city
FSST12,4351.69,../fsst-paper/dbtext/email
BtrFSST12,4975,../fsst-paper/dbtext/email
FSST12,5832.67,../fsst-paper/dbtext/urls
BtrFSST12,6412.1,../fsst-paper/dbtext/urls
FSST12,4378.42,../fsst-paper/dbtext/uuid
BtrFSST12,5089.89,../fsst-paper/dbtext/uuid
FSST12,5573.69,../fsst-paper/dbtext/genome
BtrFSST12,6180.58,../fsst-paper/dbtext/genome
FSST12,2475.66,../fsst-paper/dbtext/japanese
BtrFSST12,5032.31,../fsst-paper/dbtext/japanese
FSST12,6759.65,../fsst-paper/dbtext/ps_comment
BtrFSST12,7643.35,../fsst-paper/dbtext/ps_comment
FSST12,6101.62,../fsst-paper/dbtext/l_comment
BtrFSST12,7520.9,../fsst-paper/dbtext/l_comment
FSST12,4235.66,../fsst-paper/dbtext/wikipedia
BtrFSST12,4714.22,../fsst-paper/dbtext/wikipedia
FSST12,4028.71,../fsst-paper/dbtext/faust
BtrFSST12,4337.66,../fsst-paper/dbtext/faust
FSST12,3238.01,../fsst-paper/dbtext/hex
BtrFSST12,3885.49,../fsst-paper/dbtext/hex
FSST12,3934.67,../fsst-paper/dbtext/lastname
BtrFSST12,4379.34,../fsst-paper/dbtext/lastname
FSST12,5102.97,../fsst-paper/dbtext/hamlet
BtrFSST12,5756.33,../fsst-paper/dbtext/hamlet
FSST12,6514.72,../fsst-paper/dbtext/c_name
BtrFSST12,7362.59,../fsst-paper/dbtext/c_name
FSST12,3633.86,../fsst-paper/dbtext/movies
BtrFSST12,3927.92,../fsst-paper/dbtext/movies
FSST12,3656.81,../fsst-paper/dbtext/yago
BtrFSST12,4146.41,../fsst-paper/dbtext/yago
FSST12,2435.35,../fsst-paper/dbtext/credentials
BtrFSST12,5164.41,../fsst-paper/dbtext/credentials
