configuration,Time,file
FSST,4285.38,../fsst-paper/dbtext/c_name
FSST,1570.84,../fsst-paper/dbtext/chinese
FSST,2085.52,../fsst-paper/dbtext/city
FSST,2204.01,../fsst-paper/dbtext/credentials
FSST,2091.18,../fsst-paper/dbtext/email
FSST,1604.57,../fsst-paper/dbtext/faust
FSST,1680.21,../fsst-paper/dbtext/firstname
FSST,2668.41,../fsst-paper/dbtext/genome
FSST,2075.11,../fsst-paper/dbtext/hamlet
FSST,1640.79,../fsst-paper/dbtext/hex
FSST,1833.89,../fsst-paper/dbtext/japanese
FSST,2668.75,../fsst-paper/dbtext/l_comment
FSST,1835.37,../fsst-paper/dbtext/lastname
FSST,2555.61,../fsst-paper/dbtext/location
FSST,1487.04,../fsst-paper/dbtext/movies
FSST,3452.74,../fsst-paper/dbtext/ps_comment
FSST,2079.39,../fsst-paper/dbtext/street
FSST,2544.99,../fsst-paper/dbtext/urls
FSST,2026.97,../fsst-paper/dbtext/urls2
FSST,2473.65,../fsst-paper/dbtext/uuid
FSST,1674.68,../fsst-paper/dbtext/wiki
FSST,1860.99,../fsst-paper/dbtext/wikipedia
FSST,1447.27,../fsst-paper/dbtext/yago
FSST (SIMD),3963.55,../fsst-paper/dbtext/c_name
FSST (SIMD),1729.05,../fsst-paper/dbtext/chinese
FSST (SIMD),1745.11,../fsst-paper/dbtext/city
FSST (SIMD),1955.3,../fsst-paper/dbtext/credentials
FSST (SIMD),2017.81,../fsst-paper/dbtext/email
FSST (SIMD),1685.07,../fsst-paper/dbtext/faust
FSST (SIMD),1689.64,../fsst-paper/dbtext/firstname
FSST (SIMD),2777.84,../fsst-paper/dbtext/genome
FSST (SIMD),2182.02,../fsst-paper/dbtext/hamlet
FSST (SIMD),1926.73,../fsst-paper/dbtext/hex
FSST (SIMD),2115.33,../fsst-paper/dbtext/japanese
FSST (SIMD),2779.14,../fsst-paper/dbtext/l_comment
FSST (SIMD),1833.04,../fsst-paper/dbtext/lastname
FSST (SIMD),2497.42,../fsst-paper/dbtext/location
FSST (SIMD),1553.17,../fsst-paper/dbtext/movies
FSST (SIMD),3190.35,../fsst-paper/dbtext/ps_comment
FSST (SIMD),2025.5,../fsst-paper/dbtext/street
FSST (SIMD),2528.88,../fsst-paper/dbtext/urls
FSST (SIMD),1879.41,../fsst-paper/dbtext/urls2
FSST (SIMD),2401.16,../fsst-paper/dbtext/uuid
FSST (SIMD),1561.15,../fsst-paper/dbtext/wiki
FSST (SIMD),1814.58,../fsst-paper/dbtext/wikipedia
FSST (SIMD),1474.81,../fsst-paper/dbtext/yago
OptFSST,5773.08,../fsst-paper/dbtext/c_name
OptFSST,1537.64,../fsst-paper/dbtext/chinese
OptFSST,2073.27,../fsst-paper/dbtext/city
OptFSST,2168.68,../fsst-paper/dbtext/credentials
OptFSST,1972.68,../fsst-paper/dbtext/email
OptFSST,1449.26,../fsst-paper/dbtext/faust
OptFSST,1688.68,../fsst-paper/dbtext/firstname
OptFSST,3091.36,../fsst-paper/dbtext/genome
OptFSST,2563.06,../fsst-paper/dbtext/hamlet
OptFSST,1716.41,../fsst-paper/dbtext/hex
OptFSST,2043.75,../fsst-paper/dbtext/japanese
OptFSST,2781.17,../fsst-paper/dbtext/l_comment
OptFSST,1891.73,../fsst-paper/dbtext/lastname
OptFSST,2969.86,../fsst-paper/dbtext/location
OptFSST,1289.82,../fsst-paper/dbtext/movies
OptFSST,3548.63,../fsst-paper/dbtext/ps_comment
OptFSST,2207.77,../fsst-paper/dbtext/street
OptFSST,2567.84,../fsst-paper/dbtext/urls
OptFSST,1722.15,../fsst-paper/dbtext/urls2
OptFSST,2355.18,../fsst-paper/dbtext/uuid
OptFSST,1423.34,../fsst-paper/dbtext/wiki
OptFSST,1404.83,../fsst-paper/dbtext/wikipedia
OptFSST,1279.1,../fsst-paper/dbtext/yago
FSST12,5283.87,../fsst-paper/dbtext/c_name
FSST12,3465.8,../fsst-paper/dbtext/chinese
FSST12,4052.66,../fsst-paper/dbtext/city
FSST12,4765.77,../fsst-paper/dbtext/credentials
FSST12,3562.78,../fsst-paper/dbtext/email
FSST12,4079.91,../fsst-paper/dbtext/faust
FSST12,3914,../fsst-paper/dbtext/firstname
FSST12,5862.36,../fsst-paper/dbtext/genome
FSST12,5657.78,../fsst-paper/dbtext/hamlet
FSST12,3130.25,../fsst-paper/dbtext/hex
FSST12,4916.08,../fsst-paper/dbtext/japanese
FSST12,5616.44,../fsst-paper/dbtext/l_comment
FSST12,3365.99,../fsst-paper/dbtext/lastname
FSST12,4330.93,../fsst-paper/dbtext/location
FSST12,3532.09,../fsst-paper/dbtext/movies
FSST12,6831.23,../fsst-paper/dbtext/ps_comment
FSST12,4645.05,../fsst-paper/dbtext/street
FSST12,5494.07,../fsst-paper/dbtext/urls
