configuration,CF,file
FSST + dp-train,1.07243,../fsst-paper/dbtext/c_name
+ triples,1.0402,../fsst-paper/dbtext/c_name
+ prune,1.04902,../fsst-paper/dbtext/c_name
FSST + dp-encode,1.08044,../fsst-paper/dbtext/c_name
+ dp-train,1.17599,../fsst-paper/dbtext/c_name
+ triples,1.25073,../fsst-paper/dbtext/c_name
+ prune = OptFSST,1.24642,../fsst-paper/dbtext/c_name
FSST + dp-train,1.04316,../fsst-paper/dbtext/chinese
+ triples,1.05116,../fsst-paper/dbtext/chinese
+ prune,1.04801,../fsst-paper/dbtext/chinese
FSST + dp-encode,1.02977,../fsst-paper/dbtext/chinese
+ dp-train,0.985328,../fsst-paper/dbtext/chinese
+ triples,0.996776,../fsst-paper/dbtext/chinese
+ prune = OptFSST,0.998677,../fsst-paper/dbtext/chinese
FSST + dp-train,1.00566,../fsst-paper/dbtext/city
+ triples,1.00997,../fsst-paper/dbtext/city
+ prune,1.00073,../fsst-paper/dbtext/city
FSST + dp-encode,1.01511,../fsst-paper/dbtext/city
+ dp-train,1.01062,../fsst-paper/dbtext/city
+ triples,1.02683,../fsst-paper/dbtext/city
+ prune = OptFSST,1.02801,../fsst-paper/dbtext/city
FSST + dp-train,0.997362,../fsst-paper/dbtext/credentials
+ triples,0.994549,../fsst-paper/dbtext/credentials
+ prune,0.99853,../fsst-paper/dbtext/credentials
FSST + dp-encode,1.01527,../fsst-paper/dbtext/credentials
+ dp-train,1.02293,../fsst-paper/dbtext/credentials
+ triples,1.02034,../fsst-paper/dbtext/credentials
+ prune = OptFSST,1.02359,../fsst-paper/dbtext/credentials
FSST + dp-train,1.0071,../fsst-paper/dbtext/email
+ triples,1.01866,../fsst-paper/dbtext/email
+ prune,1.01134,../fsst-paper/dbtext/email
FSST + dp-encode,0.999039,../fsst-paper/dbtext/email
+ dp-train,1.00996,../fsst-paper/dbtext/email
+ triples,1.01789,../fsst-paper/dbtext/email
+ prune = OptFSST,1.02486,../fsst-paper/dbtext/email
FSST + dp-train,0.996397,../fsst-paper/dbtext/faust
+ triples,0.98889,../fsst-paper/dbtext/faust
+ prune,0.980727,../fsst-paper/dbtext/faust
FSST + dp-encode,1.00186,../fsst-paper/dbtext/faust
+ dp-train,1.02036,../fsst-paper/dbtext/faust
+ triples,1.0161,../fsst-paper/dbtext/faust
+ prune = OptFSST,1.01577,../fsst-paper/dbtext/faust
FSST + dp-train,0.998112,../fsst-paper/dbtext/firstname
+ triples,0.996028,../fsst-paper/dbtext/firstname
+ prune,0.99667,../fsst-paper/dbtext/firstname
FSST + dp-encode,0.996399,../fsst-paper/dbtext/firstname
