configuration,CF,file
FSST12 + dp-train,1.01653,../fsst-paper/dbtext/c_name
+ triples,0.781496,../fsst-paper/dbtext/c_name
+ prune,0.929645,../fsst-paper/dbtext/c_name
FSST12 + dp-encode,1.04818,../fsst-paper/dbtext/c_name
+ dp-train,1.15622,../fsst-paper/dbtext/c_name
+ triples,1.20831,../fsst-paper/dbtext/c_name
+ prune = OptFSST12,1.21124,../fsst-paper/dbtext/c_name
FSST12 + dp-train,1.02682,../fsst-paper/dbtext/chinese
+ triples,0.808311,../fsst-paper/dbtext/chinese
+ prune,0.833223,../fsst-paper/dbtext/chinese
FSST12 + dp-encode,1.05246,../fsst-paper/dbtext/chinese
+ dp-train,1.10861,../fsst-paper/dbtext/chinese
+ triples,1.26532,../fsst-paper/dbtext/chinese
+ prune = OptFSST12,1.27032,../fsst-paper/dbtext/chinese
FSST12 + dp-train,0.999133,../fsst-paper/dbtext/city
+ triples,0.808052,../fsst-paper/dbtext/city
+ prune,0.798509,../fsst-paper/dbtext/city
FSST12 + dp-encode,1.04055,../fsst-paper/dbtext/city
+ dp-train,1.03648,../fsst-paper/dbtext/city
+ triples,1.04762,../fsst-paper/dbtext/city
+ prune = OptFSST12,1.04749,../fsst-paper/dbtext/city
FSST12 + dp-train,1.01209,../fsst-paper/dbtext/credentials
+ triples,0.768658,../fsst-paper/dbtext/credentials
+ prune,0.783633,../fsst-paper/dbtext/credentials
FSST12 + dp-encode,1.03344,../fsst-paper/dbtext/credentials
+ dp-train,1.01735,../fsst-paper/dbtext/credentials
+ triples,1.04787,../fsst-paper/dbtext/credentials
+ prune = OptFSST12,1.06243,../fsst-paper/dbtext/credentials
FSST12 + dp-train,0.996788,../fsst-paper/dbtext/email
+ triples,0.917858,../fsst-paper/dbtext/email
+ prune,0.885574,../fsst-paper/dbtext/email
FSST12 + dp-encode,1.0382,../fsst-paper/dbtext/email
+ dp-train,1.10926,../fsst-paper/dbtext/email
+ triples,1.14038,../fsst-paper/dbtext/email
+ prune = OptFSST12,1.14866,../fsst-paper/dbtext/email
FSST12 + dp-train,1.00988,../fsst-paper/dbtext/faust
+ triples,0.759454,../fsst-paper/dbtext/faust
+ prune,0.745961,../fsst-paper/dbtext/faust
FSST12 + dp-encode,1.04768,../fsst-paper/dbtext/faust
+ dp-train,1.07069,../fsst-paper/dbtext/faust
+ triples,1.06877,../fsst-paper/dbtext/faust
+ prune = OptFSST12,1.09473,../fsst-paper/dbtext/faust
FSST12 + dp-train,1.01798,../fsst-paper/dbtext/firstname
+ triples,0.735332,../fsst-paper/dbtext/firstname
+ prune,0.729972,../fsst-paper/dbtext/firstname
FSST12 + dp-encode,1.04208,../fsst-paper/dbtext/firstname
+ dp-train,1.06553,../fsst-paper/dbtext/firstname
+ triples,1.054,../fsst-paper/dbtext/firstname
+ prune = OptFSST12,1.0468,../fsst-paper/dbtext/firstname
FSST12 + dp-train,1.00054,../fsst-paper/dbtext/genome
+ triples,0.538081,../fsst-paper/dbtext/genome
+ prune,0.538178,../fsst-paper/dbtext/genome
FSST12 + dp-encode,1,../fsst-paper/dbtext/genome
+ dp-train,0.992959,../fsst-paper/dbtext/genome
+ triples,1.03434,../fsst-paper/dbtext/genome
+ prune = OptFSST12,1.03441,../fsst-paper/dbtext/genome
FSST12 + dp-train,1.0177,../fsst-paper/dbtext/hamlet
+ triples,0.843926,../fsst-paper/dbtext/hamlet
+ prune,0.839677,../fsst-paper/dbtext/hamlet
FSST12 + dp-encode,1.04495,../fsst-paper/dbtext/hamlet
+ dp-train,1.06655,../fsst-paper/dbtext/hamlet
+ triples,1.08982,../fsst-paper/dbtext/hamlet
+ prune = OptFSST12,1.07103,../fsst-paper/dbtext/hamlet
FSST12 + dp-train,1.00138,../fsst-paper/dbtext/hex
+ triples,0.905799,../fsst-paper/dbtext/hex
+ prune,0.9087,../fsst-paper/dbtext/hex
FSST12 + dp-encode,1.02185,../fsst-paper/dbtext/hex
+ dp-train,1.02058,../fsst-paper/dbtext/hex
