file,total_nodes,level,node_count,internal_node_count,child_edge_count,avg_children_per_node,avg_children_per_internal_node,min_children,max_children,child_distance_samples,avg_child_distance,min_child_distance,max_child_distance
"../fsst-paper/dbtext/c_name",901,0,1,1,17,17,17,17,17,17,9,1,17
"../fsst-paper/dbtext/c_name",901,1,17,16,116,6.82353,7.25,1,11,116,67.7241,16,116
"../fsst-paper/dbtext/c_name",901,2,116,104,127,1.09483,1.22115,1,3,127,121.835,115,127
"../fsst-paper/dbtext/c_name",901,3,127,123,123,0.968504,1,1,1,123,124.163,123,127
"../fsst-paper/dbtext/c_name",901,4,123,123,123,1,1,1,1,123,123,123,123
"../fsst-paper/dbtext/c_name",901,5,123,123,124,1.00813,1.00813,1,2,124,123.016,123,124
"../fsst-paper/dbtext/c_name",901,6,124,124,128,1.03226,1.03226,1,3,128,124.156,124,128
"../fsst-paper/dbtext/c_name",901,7,128,126,142,1.10938,1.12698,1,10,142,129.627,128,144
"../fsst-paper/dbtext/c_name",901,8,142,0,0,0,0,0,0,0,0,0,0
"../fsst-paper/dbtext/chinese",386,0,1,1,74,74,74,74,74,74,37.5,1,74
"../fsst-paper/dbtext/chinese",386,1,74,17,63,0.851351,3.70588,1,19,63,42.0476,17,73
"../fsst-paper/dbtext/chinese",386,2,63,45,73,1.15873,1.62222,1,8,73,71.589,63,76
"../fsst-paper/dbtext/chinese",386,3,73,37,64,0.876712,1.72973,1,6,64,64.6719,60,73
"../fsst-paper/dbtext/chinese",386,4,64,39,43,0.671875,1.10256,1,3,43,53.2093,42,64
"../fsst-paper/dbtext/chinese",386,5,43,39,40,0.930233,1.02564,1,2,40,40.65,40,43
"../fsst-paper/dbtext/chinese",386,6,40,14,15,0.375,1.07143,1,2,15,27.9333,15,40
"../fsst-paper/dbtext/chinese",386,7,15,13,13,0.866667,1,1,1,13,14.5385,13,15
"../fsst-paper/dbtext/chinese",386,8,13,0,0,0,0,0,0,0,0,0,0
"../fsst-paper/dbtext/city",400,0,1,1,25,25,25,25,25,25,13,1,25
"../fsst-paper/dbtext/city",400,1,25,24,153,6.12,6.375,2,13,153,89.3268,24,153
"../fsst-paper/dbtext/city",400,2,153,62,81,0.529412,1.30645,1,4,81,124.864,83,153
"../fsst-paper/dbtext/city",400,3,81,47,50,0.617284,1.06383,1,2,50,65.82,50,79
"../fsst-paper/dbtext/city",400,4,50,41,42,0.84,1.02439,1,2,42,46.7619,41,50
"../fsst-paper/dbtext/city",400,5,42,26,26,0.619048,1,1,1,26,37.4615,28,42
"../fsst-paper/dbtext/city",400,6,26,14,15,0.576923,1.07143,1,2,15,20,14,25
"../fsst-paper/dbtext/city",400,7,15,7,7,0.466667,1,1,1,7,9.57143,7,10
"../fsst-paper/dbtext/city",400,8,7,0,0,0,0,0,0,0,0,0,0
"../fsst-paper/dbtext/credentials",376,0,1,1,26,26,26,26,26,26,13.5,1,26
"../fsst-paper/dbtext/credentials",376,1,26,22,99,3.80769,4.5,1,10,99,63.6263,25,99
"../fsst-paper/dbtext/credentials",376,2,99,59,90,0.909091,1.52542,1,9,90,95.6556,88,103
"../fsst-paper/dbtext/credentials",376,3,90,51,66,0.733333,1.29412,1,3,66,81.6667,66,93
"../fsst-paper/dbtext/credentials",376,4,66,38,44,0.666667,1.15789,1,3,44,56.6364,44,66
"../fsst-paper/dbtext/credentials",376,5,44,24,24,0.545455,1,1,1,24,35.2917,24,43
"../fsst-paper/dbtext/credentials",376,6,24,17,19,0.791667,1.11765,1,2,19,23.2105,19,25
"../fsst-paper/dbtext/credentials",376,7,19,7,7,0.368421,1,1,1,7,14.4286,9,17
"../fsst-paper/dbtext/credentials",376,8,7,0,0,0,0,0,0,0,0,0,0
"../fsst-paper/dbtext/email",536,0,1,1,41,41,41,41,41,41,21,1,41
"../fsst-paper/dbtext/email",536,1,41,36,127,3.09756,3.52778,1,9,127,80.4567,38,127
"../fsst-paper/dbtext/email",536,2,127,56,70,0.551181,1.25,1,3,70,111.071,69,134
"../fsst-paper/dbtext/email",536,3,70,57,61,0.871429,1.07018,1,2,61,68.623,61,72
"../fsst-paper/dbtext/email",536,4,61,56,61,1,1.08929,1,4,61,60.6393,59,63
